address_id,Longitude,Latitude,Start_date,End_date
1,-93.534288,48.152805,2025-01-25,2025-02-11
2,-82.483047,39.355616,2025-03-14,2025-03-30
3,-75.691089,46.040361,2025-01-28,2025-02-10
4,-96.581329,42.089661,2025-02-03,2025-03-06
5,-97.464548,44.016324,2025-03-16,2025-03-31
6,-76.868667,25.557013,2025-02-20,2025-03-31
7,-117.999232,48.107107,2025-02-02,2025-03-31
8,-106.692531,35.394861,2025-03-07,2025-03-17
9,-79.086319,36.769813,2025-02-08,2025-03-31
10,-106.491499,25.25561,2025-03-01,2025-03-31
11,-73.555321,30.862715,2025-01-10,2025-02-11
12,-89.239639,40.951448,2025-01-18,2025-02-01
13,-80.452882,26.607563,2025-02-24,2025-03-31
14,-97.135816,25.52645,2025-02-06,2025-02-14
15,-88.563625,32.525679,2025-01-05,2025-03-28
16,-80.389874,45.104842,2025-01-18,2025-03-31
17,-100.742192,33.310878,2025-01-30,2025-03-05
18,-100.533724,31.416314,2025-03-20,2025-03-31
19,-82.171966,37.957225,2025-02-28,2025-03-31
20,-107.794742,43.693199,2025-01-17,2025-02-12
21,-79.340539,45.96358,2025-03-17,2025-03-23
22,-73.953617,25.984507,2025-02-26,2025-03-31
23,-67.447368,46.566024,2025-03-29,2025-03-31
24,-71.129665,37.104498,2025-01-02,2025-02-22
25,-67.230249,47.074624,2025-03-10,2025-03-31
26,-77.628299,31.636632,2025-02-27,2025-03-31
27,-112.003934,47.627639,2025-03-19,2025-03-31
28,-73.394461,44.572663,2025-03-23,2025-03-31
29,-74.940189,32.342595,2025-01-25,2025-02-11
30,-119.949076,44.836902,2025-01-17,2025-03-31
31,-109.917285,37.158887,2025-01-06,2025-03-30
32,-120.294017,27.39151,2025-01-10,2025-02-16
33,-77.114545,48.445989,2025-02-14,2025-03-31
34,-104.804309,30.687857,2025-01-15,2025-03-27
35,-78.697115,39.628132,2025-01-03,2025-01-05
36,-86.766711,36.957277,2025-03-22,2025-03-31
37,-74.640189,31.35914,2025-02-12,2025-03-31
38,-84.50102,28.016948,2025-01-21,2025-03-16
39,-85.507334,36.626778,2025-03-31,2025-03-31
40,-77.048595,33.586491,2025-03-11,2025-03-19
41,-81.827873,37.784273,2025-01-13,2025-01-31
42,-77.504393,45.268889,2025-03-02,2025-03-30
43,-76.681771,32.411976,2025-02-06,2025-03-31
44,-109.914393,30.055996,2025-02-11,2025-03-04
45,-93.571123,27.832688,2025-01-27,2025-03-21
46,-105.149046,27.23179,2025-02-02,2025-03-21
47,-88.266538,47.502598,2025-03-07,2025-03-31
48,-107.524421,37.631243,2025-03-29,2025-03-31
49,-121.089258,26.722765,2025-01-20,2025-03-31
50,-88.946273,40.216279,2025-01-21,2025-02-25
51,-80.971121,40.439427,2025-02-20,2025-03-21
52,-80.265962,24.626124,2025-02-19,2025-03-31
53,-85.32416,26.931884,2025-01-14,2025-02-11
54,-98.790018,41.68542,2025-03-29,2025-03-31
55,-86.995525,40.629367,2025-01-29,2025-03-07
56,-69.787698,40.828772,2025-01-09,2025-01-16
